Year,Month,transect ID,Sight Lon,Sight Lat
2012,december,5,85.0971686,19.3965249
2012,december,5,85.0975643,19.3962805
2012,december,5,85.0968166,19.3966637
2012,december,5,85.0972924,19.397232
2012,december,5,85.0974779,19.3972144
2012,december,5,85.0971684,19.397354
2012,december,5,85.0974511,19.3972016
2012,december,5,85.0973117,19.3971672
2012,december,5,85.0973742,19.3971651
2012,december,5,85.0971229,19.3975205
2012,december,5,85.0973942,19.397252
2012,december,5,85.0972681,19.3971693
2012,december,5,85.0973166,19.3975873
2012,december,5,85.0971988,19.3972536
2012,december,5,85.097133,19.3975103
2012,december,5,85.0957378,19.3976071
2012,december,5,85.0959931,19.3977307
2012,december,5,85.0971799,19.3974478
2012,december,5,85.096924,19.3976892
2012,december,5,85.096729,19.3982377
2012,december,5,85.096599,19.3976572
2012,december,5,85.098011,19.397946
2012,december,5,85.0973136,19.3973094
2012,december,5,85.0964635,19.3978342
2012,december,5,85.0971233,19.3975197
2012,december,5,85.0975592,19.3974772
2012,december,5,85.0966607,19.3982124
2012,december,5,85.0956962,19.3981154
2012,december,5,85.095757,19.398354
2012,december,5,85.0955886,19.3984436
2012,december,5,85.0955597,19.3990269
2012,december,5,85.1067377,19.384394
2012,december,5,85.1067475,19.3845683
2012,december,5,85.1064355,19.3840329
2012,december,5,85.1061882,19.3843398
2012,december,5,85.106283,19.3854089
2012,december,5,85.1049122,19.3847615
2012,december,5,85.1064272,19.3853404
2012,december,5,85.105467,19.3854549
2012,december,5,85.1057558,19.3849137
2012,december,5,85.1050133,19.3864789
2012,december,5,85.1056126,19.385861
2012,december,5,85.1041043,19.3867661
2012,december,5,85.1049822,19.3866779
2012,december,5,85.1029187,19.3875106
2012,december,5,85.1034108,19.3864286
2012,december,5,85.1029014,19.3887792
2012,december,5,85.1033321,19.388816
2012,december,5,85.1020623,19.388176
2012,december,5,85.1033162,19.389446
2012,december,5,85.1016277,19.3906184
2012,december,5,85.1021604,19.3903252
2012,december,6,85.1040315,19.3782233
2012,december,6,85.1038978,19.3792803
2012,december,6,85.1021507,19.3795545
2012,december,6,85.1013129,19.3803432
2012,december,6,85.1022271,19.3802332
2012,december,6,85.1024196,19.3808714
2012,december,6,85.1000906,19.3809996
2012,december,6,85.1007838,19.3817131
2012,december,6,85.1013471,19.3822367
2012,december,6,85.1010104,19.381868
2012,december,6,85.1009847,19.3820409
2012,december,6,85.1001819,19.3825131
2012,december,6,85.1011256,19.3831247
2012,december,6,85.0998954,19.3825786
2012,december,6,85.0998172,19.3828126
2012,december,6,85.1004022,19.3834928
2012,december,6,85.1001048,19.3830718
2012,december,6,85.0999777,19.3833049
2012,december,6,85.0999467,19.3840985
2012,december,6,85.1000291,19.3841825
2012,december,6,85.0995344,19.3847491
2012,december,6,85.0984708,19.3844917
2012,december,6,85.0983362,19.3847856
2012,december,6,85.0980095,19.3842794
2012,december,6,85.0984261,19.3845318
2012,december,6,85.0984772,19.3853251
2012,december,6,85.0976094,19.3857518
2012,december,6,85.0962925,19.3850014
2012,december,6,85.0971585,19.3863513
2012,december,6,85.0976296,19.3863751
2012,december,6,85.0978957,19.3870645
2012,december,6,85.0971014,19.386267
2012,december,6,85.0972145,19.3870036
2012,december,6,85.0966545,19.3870213
2012,december,6,85.0974288,19.3876852
2012,december,6,85.0970262,19.3871472
2012,december,6,85.096686,19.3868451
2012,december,6,85.0962088,19.3876137
2012,december,6,85.0970903,19.3878957
2012,december,6,85.0964791,19.3871201
2012,december,6,85.0959489,19.3879593
2012,december,6,85.0967759,19.3882602
2012,december,6,85.0967933,19.3885812
2012,december,6,85.0956802,19.3882014
2012,december,6,85.0958262,19.3887598
2012,december,6,85.0949992,19.3892217
2012,december,6,85.0960591,19.3893761
2012,december,6,85.0948962,19.3900856
2012,december,6,85.095083,19.3900666
2012,december,6,85.0952388,19.3903571
2012,december,6,85.0950772,19.3906323
2012,december,6,85.0945544,19.3912669
2012,december,6,85.0950502,19.3893351
2012,december,7,85.0933749,19.3806104
2012,december,7,85.0934539,19.3813391
2012,december,7,85.0915368,19.382802
2012,december,7,85.0913038,19.3815773
2012,december,7,85.0918195,19.3826222
2012,december,7,85.09238,19.3824904
2012,december,7,85.0915807,19.3827499
2012,december,7,85.0919059,19.3834009
2012,december,7,85.0916065,19.383482
2012,december,7,85.0909232,19.3837814
2012,december,7,85.0916902,19.3844814
2012,december,7,85.1020994,19.3699193
2012,december,7,85.1022011,19.3707008
2012,december,7,85.101964,19.3711561
2012,december,7,85.1017818,19.3712099
2012,december,7,85.1010948,19.3713305
2012,december,7,85.1010816,19.3712645
2012,december,7,85.1004987,19.3713965
2012,december,7,85.1007169,19.3718192
2012,december,7,85.1010701,19.3720674
2012,december,7,85.1004662,19.3720604
2012,december,7,85.1003175,19.3723359
2012,december,7,85.0987387,19.3711957
2012,december,7,85.0992933,19.3720845
2012,december,7,85.0994353,19.3727718
2012,december,7,85.1005722,19.3731178
2012,december,7,85.0995847,19.3724109
2012,december,7,85.0995108,19.3726462
2012,december,7,85.0993243,19.3736205
2012,december,7,85.0988092,19.3735817
2012,december,7,85.0991407,19.3738579
2012,december,7,85.0984799,19.3740076
2012,december,7,85.0995525,19.3744533
2012,december,7,85.0991268,19.3745808
2012,december,7,85.0993293,19.3745674
2012,december,7,85.0990866,19.3745769
2012,december,7,85.0984772,19.3745954
2012,december,7,85.0985565,19.3750929
2012,december,7,85.0985669,19.3748973
2012,december,7,85.0989533,19.3749529
2012,december,7,85.0986423,19.3749023
2012,december,7,85.0990005,19.3749347
2012,december,7,85.0986973,19.3758414
2012,december,7,85.0986595,19.3758903
2012,december,7,85.0984598,19.3761486
2012,december,7,85.0979102,19.3758729
2012,december,7,85.0980753,19.3757458
2012,december,7,85.097871,19.3757451
2012,december,7,85.0977468,19.3761401
2012,december,7,85.0970879,19.3766389
2012,december,7,85.0969235,19.3758528
2012,december,7,85.0975372,19.3768854
2012,december,7,85.0973451,19.3769781
2012,december,7,85.1069772,19.3636014
2012,december,7,85.1064975,19.3634698
2012,december,7,85.1045767,19.3643848
2012,december,7,85.1069601,19.3643933
2012,december,7,85.1055601,19.364669
2012,december,7,85.1060106,19.3656357
2012,december,7,85.1057526,19.3660111
2012,december,7,85.1046413,19.3660384
2012,december,7,85.1050603,19.3666912
2012,december,7,85.1050935,19.3668635
2012,december,7,85.1037896,19.3670155
2012,december,7,85.1034407,19.3689409
2012,december,7,85.1021024,19.3693223
2012,december,7,85.102416,19.3697475
2012,december,8,85.0974799,19.3645919
2012,december,8,85.0962029,19.3675489
2012,december,8,85.094954,19.3678061
2012,december,8,85.0935706,19.368176
2012,december,8,85.0940023,19.3689042
2012,december,8,85.0938582,19.3688844
2012,december,8,85.0945072,19.3689531
2012,december,8,85.0933323,19.3697435
2012,december,8,85.0904958,19.3696664
2012,december,8,85.0925821,19.3708243
2012,december,8,85.0930018,19.370862
2012,december,8,85.0929992,19.3716419
2012,december,8,85.0918128,19.3719927
2012,december,8,85.0915998,19.3722638
2012,december,8,85.0919444,19.3714605
2012,december,8,85.0896481,19.3722191
2012,december,8,85.0894944,19.3731014
2012,december,8,85.0917479,19.372581
2012,december,8,85.0911468,19.3726506
2012,december,8,85.091908,19.3729334
2012,december,8,85.0915023,19.3728093
2012,december,8,85.0908653,19.3731984
2012,december,8,85.0905589,19.3724566
2012,december,8,85.0897316,19.3730609
2012,december,8,85.0903619,19.3736494
2012,december,8,85.0907387,19.3738652
2012,december,8,85.0912767,19.3738174
2012,december,8,85.0910851,19.3740578
2012,december,8,85.0913494,19.3743278
2012,december,8,85.0899189,19.374213
2012,december,8,85.0907454,19.3745518
2012,december,8,85.0888626,19.3741668
2012,december,8,85.0901388,19.3746286
2012,december,8,85.0896366,19.3747114
2012,december,8,85.0895661,19.3739441
2012,december,8,85.0891762,19.3745493
2012,december,8,85.0897688,19.3749279
2012,december,8,85.0900666,19.3754788
2012,december,8,85.0889546,19.3754402
2012,december,8,85.0898091,19.375718
2012,december,8,85.0896846,19.3756336
2012,december,8,85.0897796,19.3754193
2012,december,8,85.0899583,19.3756379
2012,december,8,85.0895469,19.3759126
2012,december,8,85.0883613,19.3753316
2012,december,8,85.08942,19.3761963
2012,december,8,85.0888094,19.3766113
2012,december,8,85.0892418,19.3763703
2012,december,8,85.0889979,19.3765768
2012,december,8,85.0892863,19.3762637
2012,december,8,85.0892104,19.3763428
2012,december,8,85.089143,19.3762779
2012,december,8,85.0889979,19.3764257
2012,december,8,85.0889016,19.3761904
2012,december,8,85.0890106,19.3763118
2012,december,8,85.0891608,19.3762843
2012,december,8,85.0889317,19.3763149
2012,december,8,85.087326,19.3758135
2012,december,8,85.0889602,19.3765403
2012,december,8,85.089049,19.3768017
2012,december,8,85.0888276,19.3768506
2012,december,8,85.0884372,19.3771291
2012,december,8,85.0861511,19.3750643
2012,december,8,85.0869596,19.3771152
2012,december,8,85.088201,19.3778902
2012,december,8,85.0881606,19.3777084
2012,december,8,85.08808,19.3774988
2012,december,8,85.0884214,19.3775056
2012,december,8,85.0882996,19.3777435
2012,december,8,85.0883988,19.3777393
2012,december,8,85.0883133,19.3775084
2012,december,8,85.0882431,19.3776313
2012,december,8,85.0860648,19.3777269
2012,december,8,85.0872123,19.377482
2012,december,8,85.0862812,19.3779784
2012,december,8,85.0879491,19.3782233
2012,december,8,85.0883031,19.3781604
2012,december,8,85.0885834,19.37821
2012,december,8,85.0881308,19.3781934
2012,december,8,85.084923,19.3788636
2012,december,8,85.0864278,19.3790921
2012,december,8,85.0874371,19.378397
2012,december,8,85.0868902,19.3779409
2012,december,8,85.0882603,19.3776558
2012,december,8,85.0878512,19.3775394
2012,december,8,85.0884828,19.3775765
2012,december,8,85.0869374,19.3769324
2012,december,8,85.0885346,19.3769609
2012,december,8,85.0893606,19.376314
2012,december,8,85.0891831,19.3749642
2012,december,8,85.0907738,19.3744676
2012,december,9,85.0859544,19.368444
2012,december,9,85.0861632,19.368315
2012,december,9,85.0837791,19.368617
2012,december,9,85.0853021,19.369493
2012,december,9,85.0846062,19.370114
2012,december,9,85.0830815,19.369482
2012,december,9,85.0838997,19.370013
2012,december,9,85.0838118,19.370122
2012,december,9,85.083824,19.369706
2012,december,9,85.0835551,19.370244
2012,december,9,85.082173,19.370608
2012,december,9,85.0822675,19.37015
2012,december,9,85.0811423,19.372109
2012,december,9,85.0824969,19.37142
2012,december,9,85.0805654,19.374057
2012,december,9,85.0827017,19.372107
2012,december,9,85.0812351,19.37177
2012,december,9,85.0824231,19.372321
2012,december,9,85.0822387,19.372681
2012,december,9,85.0828169,19.372927
2012,december,9,85.0827621,19.37298
2012,december,9,85.0799965,19.373024
2012,december,9,85.081799,19.373226
2012,december,9,85.0798465,19.372817
2012,december,9,85.0935763,19.358377
2012,december,9,85.0927187,19.358887
2012,december,9,85.0934857,19.359216
2012,december,9,85.0923192,19.359382
2012,december,9,85.0907299,19.359722
2012,december,9,85.0930947,19.359701
2012,december,9,85.0919811,19.359666
2012,december,9,85.0926848,19.359515
2012,december,9,85.0929544,19.360001
2012,december,9,85.0925295,19.360225
2012,december,9,85.0929128,19.359879
2012,december,9,85.0925011,19.359766
2012,december,9,85.0925472,19.360148
2012,december,9,85.0925931,19.359795
2012,december,9,85.0905541,19.360221
2012,december,9,85.0912583,19.360561
2012,december,9,85.0904601,19.359996
2012,december,9,85.0910019,19.361211
2012,december,9,85.0912739,19.361851
2012,december,9,85.089037,19.360275
2012,december,9,85.0905767,19.361335
2012,december,9,85.0900622,19.361229
2012,december,9,85.0900805,19.362156
2012,december,9,85.0899518,19.362634
2012,december,9,85.0898305,19.362331
2012,december,9,85.0899448,19.362228
2012,december,9,85.0901472,19.36224
2012,december,9,85.0901975,19.362645
2012,december,9,85.0895037,19.362908
2012,december,9,85.0911898,19.362597
2012,december,9,85.0913261,19.362874
2012,december,9,85.0912009,19.362696
2012,december,9,85.0907068,19.362943
2012,december,9,85.0896445,19.363484
2012,december,9,85.0895971,19.363477
2012,december,9,85.0898276,19.36358
2012,december,9,85.0888959,19.364594
2012,december,9,85.086742,19.364001
2012,december,9,85.0866135,19.365432
2012,december,9,85.0874118,19.36566
2012,december,9,85.0873483,19.365543
2012,december,9,85.0868447,19.365492
2012,december,9,85.0875683,19.365063
2012,december,9,85.0961157,19.352654
2012,december,9,85.0969802,19.354681
2012,december,9,85.0964979,19.353256
2012,december,9,85.0969657,19.354297
2012,december,9,85.0963957,19.354329
2012,december,9,85.0972874,19.354505
2012,december,9,85.096288,19.354258
2012,december,9,85.0953367,19.353952
2012,december,9,85.0943438,19.35295
2012,december,9,85.0958541,19.354796
2012,december,9,85.0942964,19.354638
2012,december,9,85.0942912,19.35599
2012,december,10,85.0870605,19.354004
2012,december,10,85.0865645,19.354511
2012,december,10,85.0864022,19.355424
2012,december,10,85.0856985,19.355615
2012,december,10,85.0853971,19.356189
2012,december,10,85.0848317,19.355146
2012,december,10,85.0859978,19.356236
2012,december,10,85.0854605,19.357376
2012,december,10,85.0829345,19.357177
2012,december,10,85.0845721,19.357874
2012,december,10,85.0848866,19.358233
2012,december,10,85.0842973,19.358351
2012,december,10,85.083778,19.358191
2012,december,10,85.08467,19.358446
2012,december,10,85.0836974,19.358168
2012,december,10,85.0841345,19.358309
2012,december,10,85.0825233,19.358398
2012,december,10,85.0836004,19.358243
2012,december,10,85.0827305,19.357843
2012,december,10,85.0839503,19.359364
2012,december,10,85.0831186,19.358847
2012,december,10,85.0823812,19.359276
2012,december,10,85.0829795,19.359822
2012,december,10,85.0819695,19.359633
2012,december,10,85.0829617,19.359812
2012,december,10,85.0821971,19.359278
2012,december,10,85.0825254,19.359645
2012,december,10,85.0810927,19.359915
2012,december,10,85.0806891,19.360737
2012,december,10,85.0811557,19.359852
2012,december,10,85.080315,19.361004
2012,december,10,85.0812412,19.361241
2012,december,10,85.0802465,19.361871
2012,december,10,85.0799315,19.361703
2012,december,10,85.0805306,19.36139
2012,december,10,85.0803609,19.361606
2012,december,10,85.0802518,19.361745
2012,december,10,85.0803661,19.362416
2012,december,10,85.0797543,19.362394
2012,december,10,85.0801946,19.363373
2012,december,10,85.0797055,19.363259
2012,december,10,85.0801336,19.363412
2012,december,10,85.0788078,19.362829
2012,december,10,85.0791069,19.364148
2012,december,10,85.0771124,19.362717
2012,december,10,85.0771892,19.3648829
2012,december,10,85.0783735,19.3650833
2012,december,10,85.0770917,19.3635255
2012,december,10,85.0773146,19.3639959
2012,december,10,85.0783695,19.3649454
2012,december,10,85.0768224,19.3656685
2012,december,10,85.0773023,19.3666389
2012,december,10,85.076695,19.3655407
2012,december,10,85.075934,19.3671172
2012,december,10,85.0772653,19.3673196
2012,december,10,85.0757375,19.367052
2012,december,10,85.0765977,19.367348
2012,december,10,85.0753699,19.3664551
2012,december,10,85.0765854,19.3680603
2012,december,10,85.0759023,19.3684244
2012,december,10,85.0756661,19.3692702
2012,december,10,85.0761673,19.3685936
2012,december,10,85.0742171,19.3665656
2012,december,10,85.0765357,19.3673012
2012,december,10,85.0769165,19.3667674
2012,december,10,85.0776653,19.3673216
2012,december,10,85.0771673,19.3673182
2012,december,10,85.077468,19.366064
2012,december,10,85.0775684,19.3659255
2012,december,10,85.0788317,19.3643248
2012,december,10,85.0806139,19.3635575
2012,december,11,85.0747749,19.3587027
2012,december,11,85.0742867,19.3594515
2012,december,11,85.0728332,19.3610304
2012,december,11,85.0712403,19.3621646
2012,december,11,85.0727545,19.3613441
2012,december,11,85.0720005,19.3621168
2012,december,11,85.0719578,19.362303
2012,december,11,85.0715118,19.3630757
2012,december,11,85.0690781,19.364472
2012,december,11,85.0703863,19.3635859
2012,december,11,85.0701326,19.3638706
2012,december,11,85.079106,19.3515696
2012,december,11,85.0791064,19.3517169
2012,december,11,85.0789503,19.3522314
2012,december,11,85.0792035,19.3525421
2012,december,11,85.0789909,19.3526872
2012,december,11,85.0781898,19.3530127
2012,december,11,85.0776795,19.3519803
2012,december,11,85.0779103,19.3540665
2012,december,11,85.0783305,19.3544717
