Region.Label,Month,Year,Area,Sample.Label,Effort,perpendicular distance (m)
Rushikulya,december,2012,0,5,3,98.48
Rushikulya,december,2012,0,5,3,150
Rushikulya,december,2012,0,5,3,246.2
Rushikulya,december,2012,0,5,3,114.91
Rushikulya,december,2012,0,5,3,98.48
Rushikulya,december,2012,0,5,3,246.2
Rushikulya,december,2012,0,5,3,59.09
Rushikulya,december,2012,0,5,3,96.42
Rushikulya,december,2012,0,5,3,93.97
Rushikulya,december,2012,0,6,3,50
Rushikulya,december,2012,0,6,3,10.26
Rushikulya,december,2012,0,6,3,140.95
Rushikulya,december,2012,0,6,3,128.56
Rushikulya,december,2012,0,6,3,93.97
Rushikulya,december,2012,0,6,3,32.14
Rushikulya,december,2012,0,6,3,191.51
Rushikulya,december,2012,0,6,3,96.42
Rushikulya,december,2012,0,6,3,38.3
Rushikulya,december,2012,0,6,3,98.48
Rushikulya,december,2012,0,6,3,84.57
Rushikulya,december,2012,0,6,3,96.42
Rushikulya,december,2012,0,6,3,6.43
Rushikulya,december,2012,0,6,3,147.72
Rushikulya,december,2012,0,6,3,131.56
Rushikulya,december,2012,0,6,3,38.3
Rushikulya,december,2012,0,6,3,98.48
Rushikulya,december,2012,0,6,3,100
Rushikulya,december,2012,0,6,3,38.3
Rushikulya,december,2012,0,6,3,25.71
Rushikulya,december,2012,0,6,3,37.59
Rushikulya,december,2012,0,6,3,129.9
Rushikulya,december,2012,0,6,3,114.91
Rushikulya,december,2012,0,6,3,187.94
Rushikulya,december,2012,0,6,3,147.72
Rushikulya,december,2012,0,6,3,76.6
Rushikulya,december,2012,0,6,3,114.91
Rushikulya,december,2012,0,6,3,281.91
Rushikulya,december,2012,0,6,3,114.91
Rushikulya,december,2012,0,6,3,86.6
Rushikulya,december,2012,0,6,3,17.1
Rushikulya,december,2012,0,6,3,140.95
Rushikulya,december,2012,0,6,3,76.6
Rushikulya,december,2012,0,6,3,114.91
Rushikulya,december,2012,0,6,3,17.1
Rushikulya,december,2012,0,6,3,93.97
Rushikulya,december,2012,0,6,3,147.72
Rushikulya,december,2012,0,6,3,114.91
Rushikulya,december,2012,0,6,3,38.3
Rushikulya,december,2012,0,6,3,147.72
Rushikulya,december,2012,0,6,3,114.91
Rushikulya,december,2012,0,6,3,46.98
Rushikulya,december,2012,0,6,3,22.98
Rushikulya,december,2012,0,6,3,129.9
Rushikulya,december,2012,0,6,3,98.48
Rushikulya,december,2012,0,6,3,114.91
Rushikulya,december,2012,0,6,3,39.39
Rushikulya,december,2012,0,6,3,76.6
Rushikulya,december,2012,0,6,3,69.28
Rushikulya,december,2012,0,6,3,38.3
Rushikulya,december,2012,0,6,3,32.14
Rushikulya,december,2012,0,6,3,38.3
Rushikulya,december,2012,0,6,3,96.42
Rushikulya,december,2012,0,7,3,114.91
Rushikulya,december,2012,0,7,3,64.28
